fecha,titular,termino,enlace,medio
01/02/2026,¿Cómo cambiarán los medicamentos para perder peso a la industria alimentaria? Aquí te contamos,industria alimentaria,https://news.google.com/rss/articles/CBMitgFBVV95cUxNM2NES2dsU1JZUHhnSExyd1NLZ29GNExiUVo4UVpjdnEtbi1VQnN2c09WQ0lmbndwWGVDNDZZTWIzTmIzaXY4cTk0cHJwZzJQYzFNdHNJUkxnTlhmVzVuNVFscVZLQ0d3TUdhS0t2UGpQeEpYMUFndDhONUhJRGN6ZU5mZU9nemQ1RDZJZl9iNkwxYTd6eGo1eUFQdkQ2cGtDczNNbWtwZmRPaHkxajFzb3N2aEZ5Zw?oc=5,Forbes México
02/02/2026,Cuba se queda sin gas LP: Jamaica se ‘rehúsa’ a venderle petróleo por ‘terror’ a aranceles de Trump,gas,https://news.google.com/rss/articles/CBMi3AFBVV95cUxQZVpRT2lacVdVWFpPODF2VHIxR0pjT01HZFdhS0FGWUxiSG9wTlgxZXFBVGg5dmpUcEU0eXFNb2pYZUN1eEFfVWtnVmp0V2xHcTRaeVhqbXpsUFQzczc1bGpXbDh0c2FfYW0zQmtCdW9zQkh1VUM3dWZmS3VMUTZCQWtTUkJwWVRxbEM3SDdMYmVPSFhFVXU2R2p5Z2tMVmljNENCSW54a0dBeEV4cHgyZWV3Q2RTREhVaFRwRXJfQ29xVk9MNl9uUU5HYjdxMEJCdFN5aFJfdXV2dnVo?oc=5,El Financiero
02/02/2026,"Venezuela exporta por primera vez gas licuado de petróleo, PDVSA marca un hito energético",gas,https://news.google.com/rss/articles/CBMixAFBVV95cUxNajBfVjE4Zkc4MGZZT1dtbGROX1BoRXFBNUM3Y2t3aW0yeU9TRWRmQkZsclpKVXRUOE8yWi1pdE5ERmpTYmVIN05PSnFpVmVZcGd5ZWxjQnpPNzlHZ3ZNVW1HYzJtbW44b0ZVYmppcmphWlJ2a09SWnJhS2JLTW9UZHB3SDNVUXg3LXJnNDRmaUJtemQwR2dNY2NfLWU2aUNBbnQ5aVBGZGZyT2R4TGlsWFFBNVVQVE9pV0M2eHB2Vkl5NTdu0gHYAUFVX3lxTE41ZmtieS0tVEVYdlMxUVhyNXhMOWxkRUpkbE9XaExnV0RYbjZBZndQRklKV1ZhajhiMk9OUXFMUHJQaU9xeTVUR3J1X1E1MXNjMEhuQlNvM050UFFYVWdWWWFJUjhyWEdqd21NRUxaMFJUcG1ONXlzRzJSek1fUkl4aWIzZW9JLXhYOURCM1QyVVFoMjBJSW9GaXppejloY3dLdmJvSWNRT2txM1ItNk5ULVgzRGMwQzFrRWh5Q0hMb0JNNTdoSGhHM1B5RkFTLXhzNG45anE5Tw?oc=5,El Universal
01/02/2026,Tres fugas de gas en cinco meses en Coacalco,gas,https://news.google.com/rss/articles/CBMivAFBVV95cUxPUU9laHZEb3o3X2huQ1VYbk96RkZhdmRNV3pUV3YzbnlGaS1PVE9VR2tVdndkdW1zWmgtVUdSYkpJNGxwU0xGdTdqeWFCZUstTzFQNVh3eVFmZ0diWDhWLVBYNHlxamxwM08xVnkwT0M4SF9RTWNpRE9nRkZvT25GZWNRNk5zREU3dTJMM2h1NmVBcnREbjRZUk55UFhxSVVjeWgtN3hpc202RzVYaTF6aW5hbTI0SnFjYnVzUdIB0AFBVV95cUxQdXFSOFV0Y2hDZks3VGF0NnlpU0E5T2ltVHNqWTdyT0lwb3JqUkVKX09oSzJBZVRqSHdNMC03UVc0bTJiOWtKcGFtLUM5T3dXYi1XNDRiSll1MVFkTFhHT0JORnJteFhpZk1fUk10Q1hWNzZGMkU4MWlqZ3NIdGpScTdsWG5LSkJ0VXJzSUZQcDdjc0VWaVYxLVNibVI0bHpmeTdGTkxIbnJrN1JsTUE1RDJCN2hDUUl3eVhReml5NmRzOHpkdUlMV2dJcmNfS0dX?oc=5,El Universal
02/02/2026,Gas Natural y TMEC,gas,https://news.google.com/rss/articles/CBMiggFBVV95cUxQWnpHSTItMmdPcEpFdDYzN1A0aDdoNFN4MXFoZzJHMWlkVFFNME9ZN1FtcFFzZGNCUkZ4aGo5VW9yQktxMFlCTFdIcEdROUZGcVFoQmJSaENQYVFrdDRZb3hGblhrS0pwbWVhQndyZDMzNTl2RGpyUjdldDFzcGREVTZB0gGHAUFVX3lxTE5ic3VBYUxyRGtyUGg2RnNLV2MwS3NLY2tRQjBDRTBSQ005RWxGRmhHQnV5aDFrT0NlLVN0Mi1BbnhmZHUxRFVvY1ItTmNUd2tvZ2dkanJVeWhwMzRQa3V1SmRQb3JldjEzZVhSVmFRNndLT0wxRFJQV0xONVdQT0haV2VJdEJHOA?oc=5,El Heraldo de México
02/02/2026,Explota una casa en la colonia Axotla en Álvaro Obregón por acumulación de gas,gas,https://news.google.com/rss/articles/CBMi2wFBVV95cUxONmFlYW1tNDNMUHJaWWR3YnVsVGdUU1d5LXEzRVRsbEc0OHBhTWs0a1BzY05LY29nSUlnMjI1YzFuWVhMZHlzaV81TUhTcFdKM3dtWE9VekxlYTJraTltd2VxZmJwT3dXdkx2OU01dk9rTXBuajhZdU9HTDJaMWxqbW5US0tVbUNnZ0pkME9wdTFBYU83ZE1ESldvZWRJSk5ZcF9oQjRQRGdGMVF6N3ZNMTJQTGJvZjN0VkZMR243MzRZeko5NEJXdmhyUTQxOEh0YmNUem42ekJINjDSAdsBQVVfeXFMTjZhZWFtbTQzTFByWllkd2J1bFRnVFNXeS1xM0VUbGxHNDhwYU1rNGtQc2NOS2NvZ0lJZzIyNWMxbllYTGR5c2lfNU1IU3BXSjN3bVhPVXpMZWEya2k5bXdlcWZicE93V3ZMdjlNNXZPa01wbmo4WXVPR0wyWjFsam1uVEtLVW1DZ2dKZDBPcHUxQWFPN2RNREpXb2VkSUpOWXBfaEI0UERnRjFRejd2TTEyUExib2YzdFZGTEduNzM0WXpKOTRCV3ZoclE0MThIdGJjVHpuNnpCSDYw?oc=5,El Heraldo de México
03/02/2026,Graban momento exacto en que ocurre explosión por acumulación de gas en colonia Axotla | VIDEO FUERTE,gas,https://news.google.com/rss/articles/CBMi9wFBVV95cUxNMWdsek1nUm5YQUpDa045S1diaVpxV3YyV2pINTQ3NlJfN0xURFRMZUlnLXRBRHVVZWtoYjNXQ1RDR05yR2d3LUFiQjdCdU1xWVFKMUhteTRYeDB0MGQ4TXNvRkhmY0dOMmRCSnJDV2t3SVJMMExKdWUzRG9CQ2xHWnNkZ1o5dmFsWTBwZkpDTk5uMXBvdWlmNFU1WmxHMXNBYVdyU2xJakZnZEFKeW9LaTlzQVlnRDkyVUk5R3NNVUFuRnBVMjlHMW16cHdqUkVoNm1lNDhNSV95T2FJd0doY1FUSHdIbUVVbDFxbW9pcGZubjhrR2tR0gH3AUFVX3lxTE0xZ2x6TWdSblhBSkNrTjlLV2JpWnFXdjJXakg1NDc2Ul83TFREVExlSWctdEFEdVVla2hiM1dDVENHTnJHZ3ctQWJCN0J1TXFZUUoxSG15NFh4MHQwZDhNc29GSGZjR04yZEJKckNXa3dJUkwwTEp1ZTNEb0JDbEdac2RnWjl2YWxZMHBmSkNOTm4xcG91aWY0VTVabEcxc0FhV3JTbElqRmdkQUp5b0tpOXNBWWdEOTJVSTlHc01VQW5GcFUyOUcxbXpwd2pSRWg2bWU0OE1JX3lPYUl3R2hjUVRId0htRVVsMXFtb2lwZm5uOGtHa1E?oc=5,El Heraldo de México
02/02/2026,¿Dónde cargar gasolina más barata HOY? Precios de este lunes 2 de febrero 2026,gas,https://news.google.com/rss/articles/CBMi0AFBVV95cUxQaXVxZEcwTk9QM3hvaUZfeGQ0eVAyODl1dHVTVVRYRzR0WWphMHZFN1I2akROd0M1UGtvVkg0QnBEUERqZTBQeFRNVzZNcHlsZU9nekFzVjB1MHBBRUhSTDhHQWJmSmlLUnpMZ2FndXRySVFnWEFjZEx2STEtdk1NZTIyb1dfVEZQay01bWE3UlgtTzBpamw2amtPR3dGb1diYzZ0YUdEQXhKT2JtUHVISFo0N21iOXplRGhGc1NFRFpyZXJuQ1A0ZGdGS2RvQVBs0gHWAUFVX3lxTE1GV1FQSUR0Z2FsYW4tcjRlYzB2aUg4cW5MbWF0MGExNk9PQ0pHMEJpTThxN1UyQzVHUGJUd0QwMlZlN1NYMGp3a2pEYUVIYXNQOWNJUWMtZlgwZUJlLS1jaVZNU2E1ek1VTEJrOTVxWF8ySDJRcnRCMDNXRTVLNlBHb2xoZDZYeVFrb3ZsV3RUWE1JMDB1S0hjSnpZWm93RzU3bFpJbDFLNzlabWRHVGF5c1UtMzdWQzB0TlVEbDduRmNTdHBjc2FQdE9TQ2o1a1hrZXNpcVE?oc=5,El Heraldo de México
02/02/2026,Las tortugas han reconstruido las Galápagos: las grandes ingenieras ambientales,gas,https://news.google.com/rss/articles/CBMi0AFBVV95cUxOT3ptdmJyeEQ5UHlOYjZFRzFrMkJkVkIyVWlLeEZtMjFrTEJnSlJwSFJGNk1NZVJaaHAtTXdwNXUweWpJTkZmdVV2VndaTTB5NkRyQTJhQ0U5WWhqc3hxTjVCb1lsbWFDNWYzR3FMdFJnZkxjVXMtLWp5eUFYbHo0SkZyOEpnd0hSLW5sUFZTbXcyTkl4RWJBNkF0eGthT1B5Z014Q2ZZTGF6c1ZJZS1BcEhZdFF5UFpOamVNRWhjRUJKZkRtTFRjU25kRVpMWVdj?oc=5,Animal Politico
02/02/2026,Zarpa el primer buque de gas licuado de petróleo de Venezuela,gas,https://news.google.com/rss/articles/CBMiqwFBVV95cUxOb2g2Y1NWREZ0Q3hlZTlGdy1CamtYWk9KdlYzWm1yejFHVlFsVTNkUWdob21LTmNQRzFaLThXcDNmdXZpR1JUdHYtQnFGZlNTTWhMaFFYRnlDNnVyRTJYZEMzN0p3OW04Q1VKNENMYzdKNl9wajBwaVhwU2l0YjFKUWhabEpuN1k1dDVMaGVrcGJfU2lMTkZqNTVZbk1QWDVzbkIxWXN5cm1TMFXSAasBQVVfeXFMTm9oNmNTVkRGdEN4ZWU5RnctQmprWFpPSnZWM1ptcnoxR1ZRbFUzZFFnaG9tS05jUEcxWi04V3AzZnV2aUdSVHR2LUJxRmZTU01oTGhRWEZ5QzZ1ckUyWGRDMzdKdzltOENVSjRDTGM3SjZfcGowcGlYcFNpdGIxSlFoWmxKbjdZNXQ1TGhla3BiX1NpTE5GajU1WW5NUFg1c25CMVlzeXJtUzBV?oc=5,LatinUS
